eventID,year,month,day,longitude,latitude,magnitude,sigmaMagnitude
249,1539,5,29,9.37,47.42,3.9,0.67
250,1540,7,18,7.6,47.55,3.1,0.55
251,1540,9,1,10.214,45.544,4.43,0.32
252,1540,11,12,3.483,45.417,4.4,0.44
253,1540,12,14,8.99,47.53,3.9,0.67
254,1541,10,22,8.909,44.761,5.3,0.52
255,1542,2,7,8.64,47.7,3.9,0.67
256,1542,5,14,7.417,45,4.4,0.62
257,1542,11,8,10,47.83,4.46,0.5
258,1543,9,3,2.15,43.933,3.4,0.53
259,1543,9,14,-0.883,43.217,3.6,0.54
260,1544,6,15,-1.683,48.1,4,0.49
261,1544,10,6,-0.7,49.283,4,0.49
262,1545,3,15,-0.083,44.683,2.3,0.57
263,1545,6,9,9.825,44.473,5.27,0.68
264,1545,8,15,0.117,44.333,3.7,0.52
265,1546,4,21,1.8,43.767,4.5,0.52
266,1547,2,10,10.631,44.697,5.32,0.32
267,1547,3,24,10.631,44.697,4.51,0.34
268,1547,7,31,8.48,44.307,4.54,0.3
269,1548,2,9,7.3,47.75,4.1,0.52
270,1549,1,16,4.75,44.517,2.3,0.62
271,1549,5,3,8.48,44.307,4.96,0.34
272,1549,5,4,4.75,44.55,3.3,0.93
273,1549,5,13,7.752,44.701,3.98,0.3
274,1550,2,28,7.517,44.367,4.8,0.63
275,1551,5,25,-0.399,51.271,3.74,0.3
276,1552,9,16,7.3,47.75,4.1,0.52
277,1553,11,16,9.7,47.56,3.9,0.67
278,1554,3,21,5.795,51.087,3.89,0.36
279,1559,1,15,8.117,48.783,4.2,0.43
280,1560,2,15,2.9,42.7,2.8,0.56
281,1560,6,15,9.1,47,3.9,0.67
282,1560,10,11,9.1,47,3.9,0.67
283,1560,12,28,8.533,47.383,2.4,0.67
284,1563,11,7,7.6,47.55,3.1,0.55
285,1564,7,20,7.317,44,5.5,0.41
286,1564,8,24,4.817,43.95,2.5,0.65
287,1565,2,8,7.25,50.05,5.11,0.5
288,1565,8,2,4.817,43.95,2.5,0.65
289,1566,5,6,4.817,43.95,2.5,0.65
290,1566,9,10,7.4,43.8,3.3,0.49
291,1568,10,26,-0.317,46.25,4.6,0.44
292,1568,11,8,5.133,44.167,3.2,0.64
293,1569,8,6,7.6,47.55,4.5,0.53
294,1570,7,31,3.117,45.883,3.8,0.53
295,1570,8,15,3.883,45.05,4.2,0.53
296,1570,12,6,8.1,48.95,4.4,0.43
297,1571,2,19,7.533,47.55,3.2,0.67
298,1571,2,19,7.467,47.817,4.5,0.43
299,1572,3,26,-0.95,46.433,3.2,0.51
300,1572,6,4,10.422,44.851,4.98,0.32
301,1572,6,15,6.133,45.9,2.6,0.65
302,1573,3,22,9.933,46.75,3.9,0.67
303,1573,6,15,9.53,46.86,3.79,0.6
304,1573,8,15,7.65,46.32,3.79,0.6
305,1573,12,21,8.8,47.66,4.58,0.6
306,1574,1,28,9.4,46.667,3.9,0.67
307,1574,7,17,7.9,48.5,5.11,0.5
308,1574,7,30,7.6,47.55,3.8,0.53
309,1575,2,26,-2.679,53.21,4.92,0.3
310,1575,4,25,6.15,46.217,3.9,0.67
311,1576,1,26,10.1,46.7,3.9,0.67
312,1576,9,26,9.67,45.694,4.59,0.32
313,1576,10,15,7.55,47.467,3.9,0.67
314,1576,11,20,7.6,47.55,2.4,0.67
315,1576,11,21,7.3,47.75,3.8,0.44
316,1576,12,21,7.633,47.45,3.5,0.67
